prompt,response

Possui rotinas de backup de dados e aplicação?,Backup de dados diaria armazenado em storage da AWS por prazo de 1 (um) mes e mensal por 12 (doze) meses
A aplicação armazena chaves ou senhas no próprio código?,
O tráfego de dados da solução é criptografado?,Todas as aplicações são de acesso seguro com o protocolo HTTPS e tem configurado o certificado SSL para o domínio
"Os perfis de acesso são criados com segregação de função? Caso positivo, detalhar a segregação.","A gestão dos usuários é realizada pela Dcide a solicitação do gestor do cliente. O gestor do cliente define e solicita quais privilégios serão atribuidos a cada usuário da plataforma. Os usuários podem ter privilégios de escrita, leitura ou ambos."
"A concessão e o uso de privilégios são restritos e
controlados?",A concessão de privilégio é feita com a aprovação do gestor responsável pelo cliente. Ao momento do contrato o cliente define um resposável que passará a definir os usuários e seus respectivos privilégios.
Permite a utilização de certificado SSL para executar a camada WEB com HTTPS?,Todas as aplicações são de acesso seguro com o protocolo HTTPS e tem configurado o certificado SSL para o domínio
Possui Autenticação integrada com o AD?,
Os usuários possuem um identificador único (ID de usuário) de autenticação para uso pessoal e exclusivo?,O ID ou login é o próprio e-mail corporativo do usuário
A aplicação armazena as senhas dos usuários de forma cifrada no banco de dados?,É aplicado o mecanismo de criptografia sha1-hash para senhas dos usuários
Existem registros de logs?,Os registros dos logs de acesso web são armazenados no servidor do proxy da Dcide por até 90 dias. Además existe um log de acesso a aplicação que se mantem de forma permante e também um log na aplicação para cada operação que é realizada na API do sistema pelos usuários.
As falhas de login são registradas?,As falhas de login são registradas no sistema de gestão de usuários da Dcide e após três falhas de senhas o acesso do usuário será bloqueado.
Os recursos e informações de registros (log) são protegidos contra falsificação e acesso não autorizado?,Não é póssivel a alteração dos logs do sistema. O aceso é somente via aplicação ou administradores do banco.
São registradas a criação e remoção de usuários no sistema?,A criação/remoção de novos usuários no sistema é via solicitação de gestor do cliente. A equipe de suporte realiza a operação no sistema de gestor de usuários da Dcide. Essas operações ficam registradas no sistema.
O acesso aos eventos são limitados a perfis especificos?Obrigatório o detalhamento.,O sistema de gestão de usuários da Dcide é manipulado por agentes de suporte da Dcide a solicitação do gestor do cliente.
A aplicação disponibiliza uma interface para acesso as trilhas de auditoria?,
